interview_ID,Q2-2024 _1,Q2-2024 _2,Q2-2024 _3,Q2-2027_1,Q2-2027_2,Q2-2027_3,Q2-2030_1,Q2-2030_2,Q2-2030_3,Q2-2040_1,Q2-2040_2,Q2-2040_3,Q2-2050 _1,Q2-2050 _2,Q2-2050 _3,Q3#1_1,Q3#1_2,Q3#2_1,Q3#2_2,Q3#3_1,Q3#3_2,Q3#4_1,Q3#4_2,Q3#5_1,Q3#5_2,Q5#1_1,Q5#1_2,Q5#1_3,Q5#2_1,Q5#2_2,Q5#2_3,Q5#3_1,Q5#3_2,Q5#3_3,Q5#4_1,Q5#4_2,Q5#4_3,Q5#5_1,Q5#5_2,Q5#5_3,Q7#1_1,Q7#1_2,Q7#1_3,Q7#2_1,Q7#2_2,Q7#2_3,Q7#3_1,Q7#3_2,Q7#3_3,Q7#4_1,Q7#4_2,Q7#4_3,Q7#5_1,Q7#5_2,Q7#5_3,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,TRL_upper,CDR_solution_recode,Additional_revenue,TRL_upper_recode,Byproducts
1,1,3,2,2,3,1,3,2,1,3,2,1,3,2,1,4,1,4,3,3,3,2,3,2,3,1,1,1,1,1,1,1,1,2,4,1,4,4,1,4,4,1,4,4,2,4,4,3,4,3,4,2,2,4,2,Yes,0,70,70,20,20,6,Marine biomass & Blue carbon,Yes,Pilot plant scale,"Coastal protection and algae clean-up, Marine products"
2,2,3,1,2,3,1,3,2,1,3,1,2,3,1,2,4,3,4,3,4,3,3,2,2,1,2,1,2,2,1,2,2,1,2,3,1,2,3,1,2,2,4,1,1,4,1,1,4,1,1,4,1,1,4,1,Yes,0,40,20,10,5,7,DACCS & DOCCS,Yes,Pilot plant scale,Production of materials
3,1,2,3,3,1,2,3,1,2,3,2,1,3,2,1,4,4,4,4,3,4,2,3,2,3,3,4,4,3,4,4,3,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,3,2,4,2,Yes,10,70,99,99,99,7,DACCS & DOCCS,Yes,Pilot plant scale,Production of materials
4,1,3,2,1,3,2,3,1,2,3,1,2,3,1,2,4,2,4,2,4,2,4,2,4,2,1,1,1,3,3,1,3,3,1,3,3,2,3,3,3,3,1,2,2,1,2,1,1,2,1,1,2,1,1,2,Yes,50,50,70,70,70,7,DACCS & DOCCS,Yes,Pilot plant scale,NA
5,2,3,1,3,2,1,2,1,3,1,2,3,1,2,3,2,3,3,2,4,3,4,3,4,3,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,1,4,3,2,4,2,3,4,1,4,4,1,4,4,Yes,0,5,25,40,50,9,Land-based biomass,Yes,Full scale & Commercial,NA
6,2,3,1,2,3,1,1,2,3,2,1,3,2,1,3,4,4,4,4,3,4,2,4,1,4,2,1,1,2,1,2,3,1,2,3,1,3,4,2,3,4,1,2,4,1,1,4,1,1,3,2,1,3,2,1,Yes,0,1,10,20,25,5,DACCS & DOCCS,Yes,Laboratory scale,NA
7,2,3,1,3,2,1,3,2,1,3,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,2,1,3,3,1,2,4,1,1,4,1,1,4,1,Yes,20,40,50,50,50,7,Land-based biomass,Yes,Pilot plant scale,Soil enhancement
8,2,3,1,3,2,1,2,1,3,2,1,3,2,1,3,4,1,4,2,3,3,2,4,1,4,1,1,1,1,2,2,1,3,3,2,3,3,2,3,3,4,1,4,3,2,3,2,4,2,1,4,1,1,4,1,Yes,95,30,10,10,10,7,DACCS & DOCCS,No,Pilot plant scale,NA
9,1,3,2,2,3,1,2,3,1,2,1,3,2,1,3,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,4,3,3,3,3,2,2,4,1,2,4,1,2,4,1,No,NA,NA,NA,NA,NA,7,Land-based biomass,No,Pilot plant scale,NA
10,2,3,1,2,3,1,3,1,2,3,1,2,1,2,3,1,3,1,3,1,2,1,3,1,3,1,2,1,1,2,1,2,3,1,3,3,1,4,4,3,1,1,2,1,1,1,1,3,1,1,3,1,1,3,1,No,NA,NA,NA,NA,NA,7,DACCS & DOCCS,No,Pilot plant scale,NA
11,2,3,1,2,3,1,2,3,1,3,1,2,3,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,3,2,2,3,3,3,3,3,3,3,4,1,4,4,1,4,3,2,2,2,3,2,1,4,1,Yes,100,100,70,60,20,8,Marine biomass & Blue carbon,Yes,Full scale & Commercial,Marine products
12,1,3,2,1,3,2,2,3,1,3,1,2,3,1,2,4,1,4,1,4,4,2,4,1,4,1,1,1,2,1,2,4,1,4,4,1,4,4,1,4,4,3,4,4,4,4,2,4,2,2,4,2,2,4,2,No,NA,NA,NA,NA,NA,6,Enhanced weathering,No,Pilot plant scale,NA
13,2,3,1,2,3,1,3,1,2,3,1,2,3,1,2,4,3,4,3,4,3,4,2,4,2,1,1,1,1,2,1,3,2,1,4,2,1,4,2,1,4,1,1,4,1,1,2,2,1,2,2,1,2,2,1,No,NA,NA,NA,NA,NA,4,DACCS & DOCCS,No,Laboratory scale,NA
14,1,3,2,1,3,2,1,2,3,2,1,3,2,1,3,1,4,3,4,2,4,1,4,1,4,1,4,1,1,4,1,2,4,1,4,4,1,4,4,4,1,4,1,1,4,1,1,4,1,1,4,1,1,4,NA,Yes,100,10,50,30,10,8,DACCS & DOCCS,Yes,Full scale & Commercial,NA
15,2,3,1,2,3,1,1,2,3,3,2,1,3,2,1,2,4,3,4,4,4,4,4,4,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,2,2,2,4,3,4,3,4,4,2,4,2,2,4,2,Yes,0,20,33,15,5,7,Marine biomass & Blue carbon,Yes,Pilot plant scale,Marine products
16,2,3,1,2,3,1,2,3,1,2,1,3,2,1,3,4,1,4,3,3,3,1,2,1,2,1,1,1,1,1,1,3,2,3,4,3,3,4,3,3,4,1,4,3,3,3,1,4,2,1,4,1,1,4,1,No,NA,NA,NA,NA,NA,5,DACCS & DOCCS,No,Laboratory scale,NA
17,3,2,1,3,2,1,3,2,1,3,1,2,2,1,3,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,3,4,1,3,4,1,3,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,Yes,100,50,60,65,65,8,Land-based biomass,Yes,Full scale & Commercial,Soil enhancement
18,2,3,1,3,2,1,3,1,2,3,1,2,1,2,3,4,1,4,2,3,3,2,4,1,4,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,NA,1,4,3,1,4,3,Yes,10,15,40,50,50,7,Land-based biomass,Yes,Pilot plant scale,Production of industrial materials
19,3,1,2,3,1,2,2,1,3,2,1,3,3,1,2,4,4,4,4,4,4,3,4,3,4,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,2,3,4,2,3,3,2,3,3,Yes,0,5,10,15,15,5,DACCS & DOCCS,Yes,Laboratory scale,NA
20,2,3,1,1,3,2,1,3,2,2,3,1,2,3,1,4,1,4,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,4,4,1,3,4,1,2,3,2,1,3,2,1,Yes,50,50,50,50,50,7,DACCS & DOCCS,Yes,Pilot plant scale,Production of materials
21,1,3,2,1,3,2,2,1,3,3,1,2,3,1,2,4,4,4,4,4,4,1,2,1,1,2,2,1,3,2,1,3,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,4,1,2,4,1,Yes,0,0.5,1,3,5,7,DACCS & DOCCS,Yes,Pilot plant scale,Production of materials
22,2,3,1,2,3,1,3,1,2,3,1,2,3,1,2,4,1,4,4,2,3,1,1,1,1,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,No,NA,NA,NA,NA,NA,5,Land-based biomass,No,Laboratory scale,NA
23,3,2,1,3,1,2,3,2,1,3,2,1,3,2,1,1,1,1,3,1,3,1,3,1,3,2,2,1,4,3,3,4,3,3,4,3,3,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,No,NA,NA,NA,NA,NA,7,DACCS & DOCCS,No,Pilot plant scale,NA
24,1,2,3,1,2,3,2,1,3,2,1,3,2,1,3,4,1,4,2,2,3,2,2,1,1,1,1,1,3,1,3,4,1,4,4,1,4,4,1,4,1,1,4,2,2,4,1,1,3,1,1,1,1,2,1,Yes,0,10,40,50,50,5,Enhanced weathering,Yes,Laboratory scale,Production of metals
25,2,3,1,2,3,1,3,2,1,3,1,2,3,1,2,2,3,2,3,1,2,1,2,1,1,1,2,1,2,2,1,2,2,1,3,1,1,4,1,1,4,1,2,4,1,2,4,1,1,3,2,1,2,3,1,No,NA,NA,NA,NA,NA,5,DACCS & DOCCS,No,Laboratory scale,NA
26,1,3,2,1,3,2,2,3,1,3,2,1,3,1,2,4,4,4,4,3,3,3,3,2,2,1,1,2,2,1,3,3,1,3,4,2,4,4,2,4,2,2,4,3,4,4,2,4,3,2,4,2,2,4,2,No,NA,NA,NA,NA,NA,8,DACCS & DOCCS,No,Full scale & Commercial,NA
27,2,3,1,3,2,1,3,1,2,1,2,3,1,2,3,2,1,3,3,3,3,2,2,1,2,1,1,1,4,1,3,4,1,4,2,1,3,2,1,3,4,2,3,3,2,3,2,3,2,1,4,1,1,4,1,No,0,0,NA,NA,NA,7,Enhanced weathering,No,Pilot plant scale,NA
28,2,3,1,2,3,1,1,3,2,2,1,3,2,1,3,1,1,1,1,4,2,4,4,4,4,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,1,1,1,3,2,3,3,3,3,4,4,2,4,4,2,Yes,100,95,50,5,1,8,Marine biomass & Blue carbon,Yes,Full scale & Commercial,"Coastal protection and algae clean-up, Marine products"
29,2,3,1,2,3,1,2,3,1,2,1,3,2,1,3,3,4,2,4,1,4,1,4,1,4,1,1,1,2,3,2,3,4,3,4,2,4,4,1,4,4,1,1,4,2,1,4,2,1,4,2,1,4,2,1,No,NA,NA,NA,NA,NA,8,Land-based biomass,No,Full scale & Commercial,NA
30,1,2,3,2,1,3,2,1,3,2,1,3,2,1,3,4,1,3,2,3,4,2,4,1,4,1,1,1,3,1,3,4,1,3,4,1,3,4,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,Yes,25,20,40,80,80,7,Enhanced weathering,Yes,Pilot plant scale,Soil enhancement
31,1,3,2,1,3,2,1,3,2,2,1,3,2,1,3,4,4,4,4,3,4,2,4,1,4,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,4,1,4,4,1,4,4,2,4,4,2,4,4,2,4,Yes,90,90,80,70,70,7,Marine biomass & Blue carbon,Yes,Pilot plant scale,Marine products
32,2,3,1,2,3,1,3,2,1,3,1,2,3,1,2,4,4,3,3,2,2,2,2,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,1,4,4,2,4,4,2,3,4,3,2,4,4,1,Yes,0,0,1,5,10,8,Enhanced weathering,Yes,Full scale & Commercial,Soil enhancement
50,1,3,2,3,2,1,2,1,3,2,1,3,2,1,3,4,1,4,2,3,3,2,4,1,4,1,3,3,1,4,4,1,4,4,2,4,4,2,4,4,4,1,4,3,2,3,2,4,2,1,4,1,1,4,1,No,NA,NA,NA,NA,NA,9,DACCS & DOCCS,No,Full scale & Commercial,NA
33,1,3,2,1,3,2,3,2,1,2,1,3,2,1,3,4,1,4,4,3,4,2,4,1,4,1,1,1,1,1,1,3,1,3,4,1,4,4,1,4,3,1,4,3,1,4,2,2,3,1,4,2,1,4,1,Yes,60,60,60,60,60,7,Land-based biomass,Yes,Pilot plant scale,Soil enhancement
34,3,2,1,3,2,1,3,1,2,3,1,2,3,1,2,1,1,3,1,1,3,1,3,1,3,1,1,1,4,1,2,4,1,2,4,1,2,4,1,2,1,4,2,1,4,2,1,4,1,1,4,1,1,4,1,No,NA,NA,NA,NA,NA,9,Marine biomass & Blue carbon,No,Full scale & Commercial,NA
35,2,3,1,2,3,1,1,2,3,2,1,3,2,1,3,4,1,2,2,2,4,1,1,1,1,1,1,1,3,3,2,4,4,4,4,4,4,4,4,4,4,1,4,2,4,2,2,4,1,1,2,1,1,2,1,Yes,0,20,20,5,5,7,DACCS & DOCCS,No,Pilot plant scale,NA
36,2,3,1,2,3,1,2,3,1,2,1,3,2,1,3,4,4,4,4,4,4,3,4,3,4,1,1,1,2,1,1,4,2,2,4,3,3,4,3,3,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,Yes,30,50,50,30,20,9,DACCS & DOCCS,Yes,Full scale & Commercial,NA
37,2,3,1,2,3,1,3,1,2,2,1,3,2,1,3,2,1,2,1,3,1,3,3,3,3,2,1,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,Yes,80,60,10,0,0,7,Marine biomass & Blue carbon,Yes,Pilot plant scale,"Coastal protection and algae clean-up, Marine products"
38,2,3,1,2,3,1,2,3,1,2,1,3,2,1,3,1,1,1,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,1,3,1,1,4,1,1,4,1,1,4,1,1,3,2,1,1,2,1,1,1,1,No,NA,NA,NA,NA,NA,9,BECCS,No,Full scale & Commercial,NA
